,appid,name,success,genres,tags,short_description,review_score,review_score_desc,total_positive,total_negative,total_reviews
0,216938,Pieterw test app76 ( 216938 ),False,,,,,,,,
1,660010,test2,False,,,,,,,,
2,660130,test3,False,,,,,,,,
3,1158960,Hentai Cosplay Elf - Artbook 18+,True,"Casual, Indie","Single-player, Downloadable Content, Steam Achievements","In this DLC you will find 70 wallpapers from the game. They are in the artbook folder in the folder with the game, including those that were not included in the original version.",0.0,No user reviews,0.0,0.0,0.0
4,1158990,Alan's Attitude,True,"Adventure, Indie",Single-player,"Alan's Attitude is 3D puzzle game, where you become a programmer. Your goal is to sit by the PC and finish the job. And what is your job? You'll find out.",0.0,No user reviews,0.0,0.0,0.0
5,1159010,CarX Drift Racing Online - American Ways,True,"Massively Multiplayer, Racing, Simulation, Sports","Single-player, Multi-player, Online PvP, Co-op, Online Co-op, Downloadable Content, Steam Achievements, Full controller support, Steam Trading Cards, Steam Workshop",The first stadium-based track of one of the most popular drift racing championships now comes to CarX. Smell burning rubber and enjoy a mix of hot air coming from the engines and emotions coming from bleachers.,0.0,No user reviews,0.0,0.0,0.0
6,1159020,Your Anime Waifu,True,"Casual, Indie",Single-player,Classic slide puzzle anime game with original art,0.0,2 user reviews,1.0,1.0,2.0
7,1159030,Euro Truck Simulator 2 - Bulgarian Paint Jobs Pack,True,"Indie, Simulation","Single-player, Downloadable Content, Steam Achievements, Steam Trading Cards, Steam Workshop, Partial Controller Support, Steam Cloud, Includes level editor",Customize your truck with unique Bulgarian Paintjobs!,0.0,8 user reviews,7.0,1.0,8.0
8,1159040,Kendo,True,"Action, Simulation, Sports, Early Access",Single-player,Kendo is a room-scale VR Kendo Training Application.,0.0,1 user reviews,0.0,1.0,1.0
9,1159050,Fantasy Grounds - Devin Night Token Pack #116: Elite Goblins (Token Pack),True,"Indie, RPG, Strategy","Multi-player, Co-op, Cross-Platform Multiplayer, Downloadable Content, Partial Controller Support",Devin Night Token Pack #116: Elite GoblinsA pack of well organized and equipped goblins.This product includes:Female Goblin ArcherFemale Goblin SoldierFemale Hobgoblin ArcherFemale Hobgoblin SoldierFemale RedWolf GoblinFemale Redwolf Hobgoblin2 Male Goblin Archers2 Male Goblin ChiefsMale Goblin CutterMale Goblin ManiacMale Goblin Necro4...,0.0,No user reviews,0.0,0.0,0.0
10,1159070,A-Vroom!,True,"Action, Casual, Indie","Single-player, Multi-player, PvP, Shared/Split Screen PvP, Shared/Split Screen, Steam Achievements, Full controller support, Remote Play Together",A-Vroom! is a Vehicle combat game with a skill based mechanic. A-Vroom!! Is a local multiplayer game that you have to destroy all players to be the winner. The player controls the animal car with unique abilities. You can have fun with your friend up to 4 players.,0.0,No user reviews,0.0,0.0,0.0
11,1159100,Fantasy Grounds - Devin Night Token Pack #117: Elite Orcs & Ogres (Token Pack),True,"Indie, RPG, Strategy","Multi-player, Co-op, Cross-Platform Multiplayer, Downloadable Content, Partial Controller Support",Devin Night Token Pack #117: Elite Orcs &amp; OgresSome of the meanest Orcs and smartest Ogres.This product includes:Half-Orc BartenderHalf-Orc FighterHalf-Orc Monk Brawler4 Half-Orc Warriors11 OgrekinsOgrekin Executioner5 Ogrekin ZombiesOrc ChieftanOrc CommanderOrc MountainOrc Paladin2 Orcs MountainConverted by: James HollowayReleased...,0.0,No user reviews,0.0,0.0,0.0
12,1159110,Aeon's End - Soundtrack,True,"Adventure, Indie, Strategy",,Own the music from Aeon’s End!,0.0,No user reviews,0.0,0.0,0.0
13,1159130,Cheap Golf: SUSAN Supporter Pack,True,"Action, Indie, Sports","Single-player, Downloadable Content, Steam Achievements, Steam Trading Cards, Steam Leaderboards, Includes level editor","A collection of videos, humor, music &amp; art, all created by the AI Bot SUSAN. Also includes the Cheap Golf OST.",0.0,1 user reviews,1.0,0.0,1.0
